FIPS,POP_ESTIMATE_2023
21067,"320,154"
21069,"15,442"
21071,"34,423"
21073,"51,644"
21075,"6,338"
21077,"8,792"
21079,"17,829"
21081,"25,619"
21083,"36,461"
21085,"26,825"
21087,"11,468"
21089,"35,221"
21091,"8,920"
21093,"112,273"
21095,"25,324"
21097,"19,415"
21099,"19,724"
21101,"44,119"
21103,"15,973"
21105,"4,447"
21107,"44,929"
21109,"13,104"
21111,"772,144"
21113,"55,017"
21115,"22,116"
21117,"171,321"
21119,"13,659"
21121,"29,794"
21123,"15,303"
21125,"63,296"
21127,"16,000"
21129,"7,293"
21131,"9,864"
21133,"20,423"
21135,"12,973"
21137,"24,776"
21139,"8,892"
21141,"28,283"
21143,"9,187"
21145,"67,428"
21147,"17,050"
21149,"9,054"
21151,"96,735"
21153,"11,228"
21155,"19,834"
21157,"31,744"
21159,"10,928"
21161,"16,841"
21163,"30,131"
21165,"6,286"
21167,"23,097"
21169,"10,482"
21171,"11,306"
21173,"28,527"
21175,"14,283"
21177,"30,568"
21179,"47,730"
21181,"7,686"
21183,"23,626"
21185,"70,183"
21187,"11,313"
21189,"4,001"
21191,"14,810"
21193,"27,133"
21195,"55,973"
21197,"12,972"
21199,"66,191"
21201,"2,313"
21203,"16,190"
21205,"24,409"
21207,"18,279"
21209,"60,168"
21211,"49,515"
21213,"20,195"
21215,"20,531"
21217,"26,443"
21219,"12,494"
21221,"14,369"
21223,"8,607"
21225,"13,106"
21227,"142,229"
21229,"12,267"
21231,"19,580"
21233,"12,726"
21235,"36,825"
21237,"6,282"
21239,"27,268"
22000,"4,573,749"
22001,"56,489"
22003,"22,112"
22005,"131,632"
22007,"20,160"
22009,"38,408"
22011,"36,827"
22013,"12,366"
22015,"129,795"
22017,"226,386"
22019,"203,761"
22021,"9,389"
22023,"4,768"
22025,"8,414"
22027,"13,670"
22029,"17,688"
22031,"27,114"
22033,"448,467"
22035,"6,829"
22037,"19,229"
22039,"31,754"
22041,"19,285"
22043,"21,911"
22045,"67,659"
22047,"29,617"
22049,"14,746"
22051,"421,777"
22053,"31,553"
22055,"249,750"
22057,"95,056"
22059,"14,800"
22061,"47,962"
22063,"150,145"
22065,"9,246"
22067,"23,955"
22069,"36,291"
22071,"364,136"
22073,"157,568"
22075,"22,386"
22077,"20,000"
22079,"126,260"
22081,"7,356"
22083,"19,712"
22085,"21,906"
22087,"44,463"
22089,"50,620"
22091,"10,774"
22093,"19,191"
22095,"39,592"
22097,"81,464"
22099,"51,057"
22101,"47,055"
22103,"275,583"
22105,"138,064"
22107,"3,764"
22109,"103,616"
22111,"20,650"
22113,"56,992"
22115,"46,250"
22117,"44,865"
22119,"35,238"
22121,"28,266"
22123,"9,323"
22125,"15,371"
22127,"13,216"
23000,"1,395,722"
23001,"113,765"
23003,"67,351"
23005,"310,230"
23007,"30,828"
23009,"56,526"
23011,"127,259"
23013,"40,977"
23015,"36,507"
23017,"59,905"
23019,"155,312"
23021,"17,486"
23023,"37,513"
23025,"51,302"
23027,"40,620"
23029,"31,555"
23031,"218,586"
24000,"6,180,253"
24001,"67,273"
24003,"594,582"
24005,"844,703"
24009,"94,728"
24011,"33,593"
24013,"176,639"
24015,"105,672"
24017,"171,973"
24019,"32,879"
24021,"293,391"
24023,"28,423"
24025,"264,644"
24027,"336,001"
24029,"19,303"
24031,"1,058,474"
24033,"947,430"
24035,"52,508"
24037,"115,281"
24039,"24,910"
24041,"37,823"
24043,"155,813"
24045,"104,800"
24047,"54,171"
24510,"565,239"
25000,"7,001,399"
25001,"231,735"
25003,"126,818"
25005,"581,841"
25007,"20,819"
25009,"810,089"
25011,"70,836"
25013,"460,291"
25015,"162,502"
